Year,Player,TM,ATT,RusYDS,RusY/A,RusTD,FL,G,TmRBWR,RYOE,RYOE/ATT,RYOE%,TGT,REC,RecYDS,Y/R,RecTD,Routes,Y/RR,Open,Catch,YAC,Overall,Snaps,Snaps/G,Rush%,Tgt%,Touch %,Util%,In5ATT,In5RushTD,In5Rush%,RusTD%,xRusTD%,In5REC,In5TG,In5RecTD,RecTD%,xRecTD%,significant_injury,position,gsis_id,birth_date,draft_round,draft_pick,rookie_season,last_season,age,year_signed,years,inflated_value,inflated_guaranteed,inflated_apy,pct_gtd_sign
2020,AJ Dillon,GB,46.0,242.0,5.3,2.0,0.0,11.0,74.0,,,,2.0,2.0,21.0,10.5,0.0,,,,,,,97.0,9.0,47.0,2.0,49.0,49.0,0.0,0.0,0.0,0.0435,0.0277,0.0,0.0,0.0,0.0,0.0152,0.0,RB,00-0036265,1998-05-02,2.0,62.0,2020.0,2026.0,22.34,2020.0,4.0,8.032755,4.194674,2.008189,0.522
2021,AJ Dillon,GB,187.0,803.0,4.3,5.0,1.0,17.0,73.0,47.0,0.25,45.2,37.0,34.0,313.0,9.2,2.0,156.0,2.01,59.0,74.0,71.0,83.0,476.0,28.0,39.0,8.0,46.0,47.0,11.0,4.0,0.579,0.0267,0.0326,1.0,1.0,1.0,0.0541,0.0413,0.0,RB,00-0036265,1998-05-02,2.0,62.0,2020.0,2026.0,23.33,2020.0,4.0,8.032755,4.194674,2.008189,0.522
2022,AJ Dillon,GB,186.0,770.0,4.1,7.0,0.0,17.0,72.0,-35.0,-0.19,40.2,43.0,28.0,206.0,7.4,0.0,189.0,1.09,43.0,51.0,37.0,37.0,537.0,32.0,35.0,8.0,40.0,43.0,9.0,4.0,0.818,0.0376,0.0353,0.0,0.0,0.0,0.0,0.0143,0.0,RB,00-0036265,1998-05-02,2.0,62.0,2020.0,2026.0,24.33,2020.0,4.0,8.032755,4.194674,2.008189,0.522
2023,AJ Dillon,GB,178.0,613.0,3.4,2.0,0.0,15.0,70.0,-64.0,-0.36,36.9,28.0,22.0,223.0,10.1,0.0,179.0,1.25,60.0,68.0,80.0,88.0,494.0,33.0,36.0,6.0,40.0,42.0,10.0,2.0,0.556,0.0112,0.0232,0.0,0.0,0.0,0.0,0.0054,0.0,RB,00-0036265,1998-05-02,2.0,62.0,2020.0,2026.0,25.33,2020.0,4.0,8.032755,4.194674,2.008189,0.522
2018,Aaron Jones Sr.,GB,133.0,728.0,5.5,8.0,1.0,12.0,,86.0,0.66,42.7,35.0,26.0,206.0,7.9,1.0,145.0,1.42,34.0,53.0,54.0,49.0,376.0,31.0,35.0,9.0,42.0,45.0,4.0,2.0,0.571,0.0602,0.0414,0.0,0.0,0.0,0.0286,0.0233,0.0,RB,00-0033293,1994-12-02,5.0,182.0,2017.0,2026.0,23.75,2017.0,4.0,4.692855,0.364232,1.173214,0.078
2019,Aaron Jones Sr.,GB,236.0,1084.0,4.6,16.0,2.0,16.0,,84.0,0.36,39.7,68.0,49.0,474.0,9.7,3.0,249.0,2.03,39.0,46.0,51.0,45.0,663.0,41.0,36.0,10.0,43.0,46.0,17.0,10.0,0.895,0.0678,0.0526,2.0,2.0,1.0,0.0441,0.0417,0.0,RB,00-0033293,1994-12-02,5.0,182.0,2017.0,2026.0,24.75,2017.0,4.0,4.692855,0.364232,1.173214,0.078
2020,Aaron Jones Sr.,GB,201.0,1104.0,5.5,9.0,0.0,14.0,74.0,128.0,0.64,39.5,63.0,47.0,355.0,7.6,2.0,208.0,1.81,36.0,26.0,66.0,47.0,539.0,39.0,37.0,12.0,46.0,49.0,9.0,4.0,0.563,0.0448,0.0396,1.0,3.0,0.0,0.0317,0.0385,0.0,RB,00-0033293,1994-12-02,5.0,182.0,2017.0,2026.0,25.75,2017.0,4.0,4.692855,0.364232,1.173214,0.078
2021,Aaron Jones Sr.,GB,171.0,799.0,4.7,4.0,1.0,15.0,73.0,49.0,0.29,38.2,65.0,52.0,391.0,7.5,6.0,237.0,2.19,43.0,45.0,66.0,59.0,578.0,39.0,30.0,11.0,39.0,41.0,8.0,4.0,0.421,0.0234,0.028,2.0,2.0,2.0,0.0923,0.0709,0.0,RB,00-0033293,1994-12-02,5.0,182.0,2017.0,2026.0,26.75,2021.0,4.0,79.219726,21.455342,19.804932,0.271
2022,Aaron Jones Sr.,GB,213.0,1121.0,5.3,2.0,3.0,17.0,72.0,88.0,0.43,42.4,72.0,59.0,395.0,6.7,5.0,249.0,1.59,59.0,66.0,39.0,51.0,630.0,37.0,34.0,11.0,43.0,45.0,2.0,0.0,0.182,0.0094,0.0135,2.0,2.0,1.0,0.0694,0.0527,0.0,RB,00-0033293,1994-12-02,5.0,182.0,2017.0,2026.0,27.75,2021.0,4.0,79.219726,21.455342,19.804932,0.271
2023,Aaron Jones Sr.,GB,142.0,656.0,4.6,2.0,1.0,11.0,70.0,16.0,0.12,39.4,43.0,30.0,233.0,7.8,1.0,158.0,1.61,66.0,54.0,55.0,62.0,354.0,32.0,40.0,12.0,49.0,52.0,7.0,2.0,0.389,0.0141,0.0237,0.0,0.0,0.0,0.0233,0.028,0.0,RB,00-0033293,1994-12-02,5.0,182.0,2017.0,2026.0,28.75,2023.0,2.0,30.816726,11.415587,15.408363,0.37
2024,Aaron Jones Sr.,MIN,255.0,1138.0,4.5,5.0,3.0,17.0,72.0,42.0,0.17,40.6,62.0,51.0,408.0,8.0,2.0,289.0,1.45,73.0,61.0,44.0,59.0,700.0,41.0,36.0,9.0,44.0,45.0,13.0,3.0,0.813,0.0196,0.0255,2.0,2.0,1.0,0.0323,0.0455,0.0,RB,00-0033293,1994-12-02,5.0,182.0,2017.0,2026.0,29.75,2024.0,1.0,8.255286,8.255286,8.255286,1.0
2025,Aaron Jones Sr.,MIN,132.0,548.0,4.2,2.0,1.0,12.0,74.0,-15.0,-0.12,35.7,41.0,28.0,199.0,7.1,1.0,153.0,1.3,64.0,69.0,47.0,61.0,366.0,31.0,36.0,11.0,44.0,47.0,3.0,2.0,0.25,0.0152,0.0163,0.0,0.0,0.0,0.0244,0.0214,0.0,RB,00-0033293,1994-12-02,5.0,182.0,2017.0,2026.0,30.75,2025.0,2.0,21.575931,12.40616,10.787966,0.575
2018,Adrian Peterson,WAS,251.0,1042.0,4.2,7.0,2.0,16.0,,61.0,0.25,35.8,26.0,20.0,208.0,10.4,1.0,112.0,1.86,51.0,40.0,72.0,64.0,479.0,30.0,52.0,5.0,57.0,58.0,8.0,4.0,0.571,0.0279,0.0251,0.0,0.0,0.0,0.0385,0.0314,0.0,RB,00-0025394,1985-03-21,1.0,7.0,2007.0,2021.0,33.45,2018.0,1.0,1.725271,0.0,1.725271,0.0
2019,Adrian Peterson,WAS,211.0,898.0,4.3,5.0,2.0,16.0,,101.0,0.49,42.1,23.0,17.0,142.0,8.4,0.0,,,,,,,403.0,27.0,52.0,6.0,57.0,58.0,7.0,3.0,0.583,0.0237,0.023,0.0,0.0,0.0,0.0,0.0097,0.0,RB,00-0025394,1985-03-21,1.0,7.0,2007.0,2021.0,34.45,2019.0,2.0,8.050138,2.400638,4.025069,0.298
2020,Adrian Peterson,DET,156.0,604.0,3.9,7.0,0.0,16.0,70.0,-78.0,-0.5,27.7,18.0,12.0,101.0,8.4,0.0,,,,,,,298.0,19.0,52.0,6.0,56.0,58.0,14.0,6.0,0.467,0.0449,0.048,0.0,0.0,0.0,0.0,0.0103,0.0,RB,00-0025394,1985-03-21,1.0,7.0,2007.0,2021.0,35.45,2020.0,1.0,1.595661,0.0,1.595661,0.0
2021,Adrian Peterson,SEA,38.0,98.0,2.6,2.0,0.0,4.0,68.0,,,,4.0,4.0,8.0,2.0,0.0,,,,,,,72.0,18.0,53.0,6.0,58.0,58.0,5.0,2.0,0.294,0.0526,0.058,1.0,1.0,0.0,0.0,0.0586,0.0,RB,00-0025394,1985-03-21,1.0,7.0,2007.0,2021.0,36.45,2021.0,1.0,0.415904,0.0,0.415904,0.0
2018,Alex Collins,BAL,114.0,411.0,3.6,7.0,3.0,10.0,,-39.0,-0.36,41.3,21.0,15.0,105.0,7.0,1.0,,,,,,,312.0,31.0,37.0,7.0,41.0,43.0,6.0,2.0,0.353,0.0614,0.0476,1.0,1.0,1.0,0.0476,0.049,1.0,RB,00-0032426,1994-08-26,5.0,171.0,2016.0,2021.0,24.02,2018.0,1.0,1.070858,0.0,1.070858,0.0
2019,Alex Collins,BAL,0.0,0.0,0.0,0.0,0.0,1.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,1.0,RB,00-0032426,1994-08-26,5.0,171.0,2016.0,2021.0,25.02,2016.0,4.0,4.896918,0.357677,1.22423,0.073
2020,Alex Collins,SEA,18.0,77.0,4.3,2.0,0.0,3.0,70.0,,,,2.0,1.0,4.0,4.0,0.0,,,,,,,52.0,17.0,35.0,4.0,37.0,38.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,RB,00-0032426,1994-08-26,5.0,171.0,2016.0,2021.0,26.02,2020.0,1.0,0.330662,0.0,0.330662,0.0
2021,Alex Collins,SEA,108.0,411.0,3.8,2.0,1.0,11.0,68.0,-90.0,-0.85,27.4,10.0,9.0,87.0,9.7,0.0,,,,,,,257.0,23.0,42.0,4.0,46.0,46.0,4.0,1.0,0.235,0.0185,0.0216,0.0,0.0,0.0,0.0,0.0028,0.0,RB,00-0032426,1994-08-26,5.0,171.0,2016.0,2021.0,27.02,2021.0,1.0,1.633907,0.0,1.633907,0.0
2019,Alexander Mattison,MIN,100.0,462.0,4.6,1.0,1.0,13.0,,35.0,0.36,43.3,12.0,10.0,82.0,8.2,0.0,,,,,,,197.0,15.0,51.0,6.0,56.0,57.0,3.0,0.0,0.111,0.01,0.0223,0.0,0.0,0.0,0.0,0.0055,0.0,RB,00-0034972,1998-06-19,3.0,102.0,2019.0,2025.0,21.2,2019.0,4.0,5.555364,1.315825,1.388841,0.237
2020,Alexander Mattison,MIN,96.0,434.0,4.5,2.0,0.0,13.0,70.0,52.0,0.55,46.8,15.0,13.0,125.0,9.6,1.0,,,,,,,229.0,18.0,42.0,7.0,48.0,48.0,4.0,1.0,0.125,0.0208,0.0321,0.0,0.0,0.0,0.0667,0.0367,0.0,RB,00-0034972,1998-06-19,3.0,102.0,2019.0,2025.0,22.2,2019.0,4.0,5.555364,1.315825,1.388841,0.237
2021,Alexander Mattison,MIN,134.0,491.0,3.7,3.0,1.0,16.0,71.0,-74.0,-0.55,32.3,39.0,32.0,228.0,7.1,1.0,145.0,1.57,37.0,54.0,54.0,51.0,377.0,24.0,36.0,10.0,44.0,46.0,4.0,1.0,0.182,0.0224,0.0259,0.0,0.0,0.0,0.0256,0.0323,0.0,RB,00-0034972,1998-06-19,3.0,102.0,2019.0,2025.0,23.2,2019.0,4.0,5.555364,1.315825,1.388841,0.237
2022,Alexander Mattison,MIN,74.0,283.0,3.8,5.0,0.0,17.0,71.0,,,,18.0,15.0,91.0,6.1,1.0,,,,,,,297.0,17.0,25.0,6.0,30.0,31.0,2.0,0.0,0.1,0.0676,0.0535,0.0,0.0,0.0,0.0556,0.0456,0.0,RB,00-0034972,1998-06-19,3.0,102.0,2019.0,2025.0,24.2,2019.0,4.0,5.555364,1.315825,1.388841,0.237
2023,Alexander Mattison,MIN,180.0,700.0,3.9,0.0,2.0,16.0,72.0,-45.0,-0.25,39.7,44.0,30.0,192.0,6.4,3.0,243.0,0.79,68.0,42.0,32.0,37.0,579.0,36.0,31.0,8.0,36.0,39.0,9.0,0.0,0.75,0.0,0.0139,2.0,4.0,2.0,0.0682,0.0687,0.0,RB,00-0034972,1998-06-19,3.0,102.0,2019.0,2025.0,25.2,2023.0,2.0,9.379004,4.823488,4.689502,0.514
2024,Alexander Mattison,LV,132.0,420.0,3.2,4.0,1.0,14.0,71.0,-77.0,-0.59,31.8,48.0,36.0,294.0,8.2,1.0,187.0,1.57,71.0,42.0,61.0,63.0,444.0,32.0,30.0,11.0,38.0,41.0,11.0,4.0,0.579,0.0303,0.0355,0.0,0.0,0.0,0.0204,0.0174,0.0,RB,00-0034972,1998-06-19,3.0,102.0,2019.0,2025.0,26.2,2024.0,1.0,2.358653,1.945889,2.358653,0.825
2018,Alfred Morris,SF,111.0,428.0,3.9,2.0,1.0,12.0,,-58.0,-0.53,35.8,13.0,8.0,73.0,9.1,0.0,,,,,,,250.0,21.0,44.0,5.0,48.0,50.0,8.0,1.0,0.533,0.018,0.0335,0.0,0.0,0.0,0.0,0.0018,0.0,RB,00-0029141,1988-12-12,6.0,173.0,2012.0,2020.0,29.72,2018.0,1.0,1.342822,0.0,1.342822,0.0
2019,Alfred Morris,ARI,1.0,4.0,4.0,0.0,0.0,1.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,3.0,3.0,33.0,0.0,33.0,33.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,RB,00-0029141,1988-12-12,6.0,173.0,2012.0,2020.0,30.72,2019.0,1.0,1.632434,0.144038,1.632434,0.088
2020,Alfred Morris,NYG,55.0,238.0,4.3,1.0,0.0,9.0,70.0,,,,4.0,3.0,19.0,6.3,1.0,,,,,,,111.0,12.0,50.0,4.0,52.0,53.0,1.0,1.0,0.059,0.0182,0.0171,0.0,0.0,0.0,0.25,0.1551,0.0,RB,00-0029141,1988-12-12,6.0,173.0,2012.0,2020.0,31.72,2020.0,1.0,1.595661,0.0,1.595661,0.0
2018,Alvin Kamara,NO,194.0,883.0,4.6,14.0,0.0,15.0,,-82.0,-0.43,35.6,105.0,81.0,709.0,8.8,4.0,317.0,2.65,33.0,69.0,67.0,67.0,660.0,44.0,29.0,16.0,42.0,45.0,16.0,9.0,0.516,0.0722,0.0625,3.0,3.0,1.0,0.0381,0.0432,0.0,RB,00-0033906,1995-07-25,3.0,67.0,2017.0,2026.0,23.1,2017.0,4.0,6.95785,1.754485,1.739462,0.252
2019,Alvin Kamara,NO,171.0,797.0,4.7,5.0,1.0,14.0,,29.0,0.17,36.7,97.0,81.0,533.0,6.6,1.0,297.0,1.91,51.0,49.0,48.0,48.0,626.0,45.0,27.0,15.0,40.0,43.0,7.0,2.0,0.583,0.0292,0.0301,0.0,0.0,0.0,0.0103,0.0216,0.0,RB,00-0033906,1995-07-25,3.0,67.0,2017.0,2026.0,24.1,2017.0,4.0,6.95785,1.754485,1.739462,0.252
2020,Alvin Kamara,NO,187.0,932.0,5.0,16.0,0.0,15.0,72.0,77.0,0.42,39.5,107.0,83.0,756.0,9.1,5.0,312.0,2.54,59.0,21.0,67.0,54.0,658.0,44.0,28.0,16.0,41.0,45.0,15.0,11.0,0.833,0.0856,0.0672,2.0,2.0,1.0,0.0467,0.0394,0.0,RB,00-0033906,1995-07-25,3.0,67.0,2017.0,2026.0,25.11,2020.0,5.0,113.975782,27.100402,22.795156,0.238
2021,Alvin Kamara,NO,240.0,898.0,3.7,4.0,0.0,13.0,69.0,-140.0,-0.59,31.5,67.0,47.0,439.0,9.3,5.0,195.0,2.25,51.0,15.0,71.0,51.0,627.0,48.0,38.0,11.0,46.0,49.0,9.0,2.0,0.529,0.0167,0.0232,1.0,1.0,1.0,0.0746,0.0563,0.0,RB,00-0033906,1995-07-25,3.0,67.0,2017.0,2026.0,26.11,2020.0,5.0,113.975782,27.100402,22.795156,0.238
2022,Alvin Kamara,NO,223.0,897.0,4.0,2.0,4.0,15.0,71.0,-38.0,-0.17,39.0,77.0,57.0,490.0,8.6,2.0,243.0,2.02,65.0,66.0,50.0,63.0,642.0,43.0,35.0,12.0,44.0,47.0,4.0,2.0,0.667,0.009,0.0125,0.0,0.0,0.0,0.0256,0.0225,0.0,RB,00-0033906,1995-07-25,3.0,67.0,2017.0,2026.0,27.1,2020.0,5.0,113.975782,27.100402,22.795156,0.238
2023,Alvin Kamara,NO,180.0,694.0,3.9,5.0,0.0,13.0,72.0,-99.0,-0.56,33.1,86.0,75.0,466.0,6.2,1.0,204.0,2.28,72.0,68.0,43.0,61.0,558.0,43.0,32.0,15.0,46.0,48.0,12.0,3.0,1.0,0.0278,0.0338,0.0,0.0,0.0,0.0115,0.0135,0.0,RB,00-0033906,1995-07-25,3.0,67.0,2017.0,2026.0,28.1,2020.0,5.0,113.975782,27.100402,22.795156,0.238
2024,Alvin Kamara,NO,228.0,950.0,4.2,6.0,0.0,14.0,71.0,-35.0,-0.15,38.1,89.0,68.0,543.0,8.0,2.0,258.0,2.1,30.0,66.0,53.0,53.0,641.0,46.0,36.0,14.0,46.0,49.0,11.0,4.0,1.0,0.0263,0.0275,0.0,0.0,0.0,0.0225,0.0178,0.0,RB,00-0033906,1995-07-25,3.0,67.0,2017.0,2026.0,29.11,2024.0,2.0,28.8935,22.68238,14.44675,0.785
2025,Alvin Kamara,NO,131.0,471.0,3.6,1.0,2.0,11.0,70.0,-95.0,-0.73,30.0,39.0,33.0,186.0,5.6,0.0,187.0,0.99,56.0,70.0,27.0,42.0,457.0,42.0,29.0,9.0,36.0,37.0,2.0,0.0,0.5,0.0076,0.0114,0.0,0.0,0.0,0.0,0.0149,0.0,RB,00-0033906,1995-07-25,3.0,67.0,2017.0,2026.0,30.11,2024.0,2.0,28.8935,22.68238,14.44675,0.785
2018,Ameer Abdullah,MIN,1.0,1.0,1.0,0.0,1.0,10.0,,,,,4.0,3.0,28.0,9.3,0.0,,,,,,,17.0,2.0,6.0,24.0,24.0,29.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,RB,00-0032104,1993-06-13,2.0,54.0,2015.0,2026.0,25.22,2015.0,4.0,8.736915,4.817247,2.18423,0.551
2019,Ameer Abdullah,MIN,23.0,115.0,5.0,0.0,1.0,16.0,,,,,21.0,15.0,88.0,5.9,1.0,,,,,,,135.0,8.0,17.0,16.0,28.0,33.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,RB,00-0032104,1993-06-13,2.0,54.0,2015.0,2026.0,26.22,2019.0,1.0,1.296344,0.072019,1.296344,0.056
2020,Ameer Abdullah,MIN,8.0,42.0,5.3,0.0,0.0,16.0,70.0,,,,9.0,8.0,58.0,7.3,2.0,,,,,,,74.0,5.0,11.0,12.0,22.0,23.0,0.0,0.0,0.0,,,0.0,1.0,0.0,,,0.0,RB,00-0032104,1993-06-13,2.0,54.0,2015.0,2026.0,27.22,2020.0,1.0,1.591862,0.208956,1.591862,0.131
2021,Ameer Abdullah,CAR,51.0,166.0,3.3,0.0,0.0,17.0,68.0,,,,53.0,38.0,289.0,7.6,1.0,155.0,1.86,71.0,47.0,43.0,50.0,314.0,18.0,16.0,17.0,28.0,33.0,1.0,0.0,0.045,0.0,0.0103,0.0,0.0,0.0,0.0189,0.0221,0.0,RB,00-0032104,1993-06-13,2.0,54.0,2015.0,2026.0,28.22,2021.0,1.0,0.415904,0.0,0.415904,0.0
2022,Ameer Abdullah,LV,4.0,20.0,5.0,0.0,0.0,16.0,72.0,,,,32.0,25.0,211.0,8.4,1.0,114.0,1.85,50.0,67.0,44.0,53.0,166.0,12.0,2.0,19.0,17.0,22.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,RB,00-0032104,1993-06-13,2.0,54.0,2015.0,2026.0,29.22,2022.0,1.0,1.717939,0.22062,1.717939,0.128
2023,Ameer Abdullah,LV,15.0,89.0,5.9,0.0,0.0,16.0,67.0,,,,24.0,19.0,131.0,6.9,0.0,,,,,,,206.0,13.0,7.0,12.0,17.0,19.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,RB,00-0032104,1993-06-13,2.0,54.0,2015.0,2026.0,30.22,2023.0,1.0,2.344751,0.669929,2.344751,0.286
2024,Ameer Abdullah,LV,66.0,311.0,4.7,2.0,1.0,15.0,71.0,,,,47.0,40.0,261.0,6.5,3.0,222.0,1.18,52.0,78.0,43.0,58.0,397.0,31.0,17.0,12.0,27.0,28.0,4.0,1.0,0.211,0.0303,0.0339,2.0,2.0,1.0,0.0638,0.0543,0.0,RB,00-0032104,1993-06-13,2.0,54.0,2015.0,2026.0,31.22,2024.0,1.0,2.181754,1.002428,2.181754,0.459
2020,Antonio Gibson,WAS,170.0,795.0,4.7,11.0,2.0,14.0,73.0,35.0,0.21,39.9,44.0,36.0,247.0,6.9,0.0,133.0,1.89,40.0,42.0,52.0,44.0,405.0,29.0,42.0,11.0,51.0,53.0,12.0,7.0,0.5,0.0647,0.053,0.0,0.0,0.0,0.0,0.0095,0.0,RB,00-0036328,1998-06-23,3.0,66.0,2020.0,2025.0,22.19,2020.0,4.0,7.496017,1.743635,1.874005,0.233
2021,Antonio Gibson,WAS,258.0,1037.0,4.0,7.0,4.0,16.0,75.0,1.0,0.01,38.8,52.0,42.0,294.0,7.0,3.0,150.0,1.96,42.0,46.0,51.0,46.0,604.0,38.0,43.0,9.0,50.0,51.0,15.0,6.0,0.714,0.0271,0.0325,1.0,2.0,1.0,0.0577,0.048,0.0,RB,00-0036328,1998-06-23,3.0,66.0,2020.0,2025.0,23.19,2020.0,4.0,7.496017,1.743635,1.874005,0.233
2022,Antonio Gibson,WAS,149.0,546.0,3.7,3.0,0.0,15.0,71.0,-28.0,-0.19,39.5,58.0,46.0,353.0,7.7,2.0,200.0,1.76,65.0,78.0,26.0,49.0,489.0,33.0,30.0,12.0,40.0,42.0,10.0,3.0,0.526,0.0201,0.0294,0.0,0.0,0.0,0.0345,0.0289,0.0,RB,00-0036328,1998-06-23,3.0,66.0,2020.0,2025.0,24.19,2020.0,4.0,7.496017,1.743635,1.874005,0.233
2023,Antonio Gibson,WAS,65.0,265.0,4.1,1.0,2.0,16.0,75.0,,,,59.0,48.0,389.0,8.1,2.0,280.0,1.39,38.0,84.0,48.0,60.0,473.0,30.0,14.0,12.0,24.0,26.0,1.0,1.0,0.077,0.0154,0.0154,1.0,1.0,1.0,0.0339,0.0263,0.0,RB,00-0036328,1998-06-23,3.0,66.0,2020.0,2025.0,25.19,2020.0,4.0,7.496017,1.743635,1.874005,0.233
2024,Antonio Gibson,NE,120.0,538.0,4.5,1.0,0.0,17.0,67.0,83.0,0.7,45.4,29.0,23.0,206.0,9.0,0.0,132.0,1.56,52.0,69.0,42.0,53.0,359.0,21.0,33.0,8.0,40.0,42.0,3.0,0.0,0.2,0.0083,0.0135,0.0,0.0,0.0,0.0,0.0061,0.0,RB,00-0036328,1998-06-23,3.0,66.0,2020.0,2025.0,26.19,2024.0,3.0,13.267424,6.250431,4.422475,0.471
2025,Antonio Gibson,NE,25.0,106.0,4.2,1.0,1.0,5.0,72.0,,,,17.0,13.0,91.0,7.0,0.0,,,,,,,52.0,10.0,48.0,6.0,52.0,54.0,2.0,1.0,0.095,,,0.0,0.0,0.0,,,1.0,RB,00-0036328,1998-06-23,3.0,66.0,2020.0,2025.0,27.19,2024.0,3.0,13.267424,6.250431,4.422475,0.471
2025,Ashton Jeanty,LV,266.0,975.0,3.7,5.0,1.0,17.0,70.0,-51.0,-0.19,34.9,73.0,55.0,346.0,6.3,5.0,297.0,1.16,62.0,70.0,52.0,66.0,771.0,45.0,35.0,9.0,42.0,44.0,9.0,3.0,1.0,0.0188,0.0212,1.0,1.0,1.0,0.0685,0.0485,0.0,RB,00-0040122,2003-12-02,1.0,6.0,2025.0,2026.0,21.75,2025.0,4.0,38.724279,38.724279,9.68107,1.0
2018,Austin Ekeler,LAC,106.0,554.0,5.2,3.0,1.0,14.0,,7.0,0.06,36.9,53.0,39.0,404.0,10.4,3.0,179.0,2.44,35.0,36.0,77.0,61.0,347.0,25.0,31.0,15.0,42.0,46.0,4.0,2.0,0.364,0.0283,0.0282,0.0,0.0,0.0,0.0566,0.0375,0.0,RB,00-0033699,1995-05-17,,,2017.0,2025.0,23.29,2017.0,3.0,3.012,0.009018,1.004001,0.003
2019,Austin Ekeler,LAC,132.0,557.0,4.2,3.0,2.0,16.0,,-82.0,-0.64,31.0,108.0,92.0,993.0,10.8,8.0,267.0,3.72,63.0,92.0,72.0,94.0,599.0,37.0,22.0,18.0,37.0,40.0,9.0,2.0,0.391,0.0227,0.0295,3.0,4.0,1.0,0.0741,0.0562,0.0,RB,00-0033699,1995-05-17,,,2017.0,2025.0,24.29,2017.0,3.0,3.012,0.009018,1.004001,0.003
2020,Austin Ekeler,LAC,116.0,530.0,4.6,1.0,0.0,10.0,67.0,11.0,0.1,36.5,65.0,54.0,403.0,7.5,2.0,176.0,2.29,40.0,53.0,62.0,58.0,412.0,41.0,28.0,16.0,41.0,44.0,1.0,0.0,0.077,0.0086,0.0152,0.0,0.0,0.0,0.0308,0.0327,0.0,RB,00-0033699,1995-05-17,,,2017.0,2025.0,25.3,2020.0,4.0,37.232089,20.89556,9.308022,0.561
2021,Austin Ekeler,LAC,206.0,911.0,4.4,12.0,3.0,16.0,70.0,-11.0,-0.06,38.0,94.0,70.0,647.0,9.2,8.0,346.0,1.87,43.0,48.0,71.0,64.0,731.0,46.0,28.0,13.0,38.0,41.0,16.0,9.0,0.727,0.0583,0.0518,1.0,1.0,1.0,0.0851,0.0582,0.0,RB,00-0033699,1995-05-17,,,2017.0,2025.0,26.29,2020.0,4.0,37.232089,20.89556,9.308022,0.561
2022,Austin Ekeler,LAC,204.0,915.0,4.5,13.0,3.0,17.0,70.0,83.0,0.42,37.2,127.0,107.0,722.0,6.7,5.0,390.0,1.87,51.0,99.0,52.0,82.0,734.0,43.0,28.0,17.0,42.0,45.0,10.0,6.0,0.588,0.0634,0.051,4.0,4.0,3.0,0.0391,0.0421,0.0,RB,00-0033699,1995-05-17,,,2017.0,2025.0,27.29,2020.0,4.0,37.232089,20.89556,9.308022,0.561
2023,Austin Ekeler,LAC,179.0,628.0,3.5,5.0,4.0,14.0,72.0,-48.0,-0.27,35.0,74.0,51.0,436.0,8.5,1.0,292.0,1.49,70.0,46.0,76.0,78.0,630.0,45.0,28.0,12.0,37.0,40.0,15.0,5.0,0.833,0.0279,0.0366,1.0,2.0,0.0,0.0135,0.0197,0.0,RB,00-0033699,1995-05-17,,,2017.0,2025.0,28.29,2020.0,4.0,37.232089,20.89556,9.308022,0.561
2024,Austin Ekeler,WAS,77.0,367.0,4.8,4.0,0.0,12.0,74.0,,,,41.0,35.0,366.0,10.5,0.0,225.0,2.0,63.0,65.0,84.0,91.0,409.0,34.0,19.0,10.0,27.0,29.0,5.0,3.0,0.227,0.0519,0.0475,0.0,0.0,0.0,0.0,0.0089,0.0,RB,00-0033699,1995-05-17,,,2017.0,2025.0,29.3,2024.0,2.0,9.941723,4.964965,4.970861,0.499
2022,Bam Knight,NYJ,85.0,300.0,3.5,1.0,0.0,7.0,69.0,,,,14.0,13.0,100.0,7.7,0.0,,,,,,,198.0,28.0,43.0,7.0,49.0,50.0,3.0,0.0,0.158,0.0118,0.017,0.0,0.0,0.0,0.0,0.0077,0.0,RB,00-0037157,2001-04-11,,,2022.0,2026.0,21.39,2022.0,1.0,0.299464,0.0,0.299464,0.0
2023,Bam Knight,DET,3.0,13.0,4.3,0.0,0.0,2.0,73.0,,,,1.0,1.0,8.0,8.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,1.0,RB,00-0037157,2001-04-11,,,2022.0,2026.0,22.39,2023.0,1.0,1.165676,0.0,1.165676,0.0
2025,Bam Knight,ARI,82.0,269.0,3.3,4.0,1.0,12.0,71.0,,,,31.0,22.0,160.0,7.3,1.0,112.0,1.43,73.0,64.0,30.0,48.0,283.0,28.0,29.0,11.0,37.0,40.0,7.0,3.0,0.5,0.0488,0.0474,0.0,1.0,0.0,0.0323,0.0366,1.0,RB,00-0037157,2001-04-11,,,2022.0,2026.0,24.39,2025.0,1.0,1.11116,0.0,1.11116,0.0
